"id","num_wave_voted","num_bi_switch","bi_switch_ratio","bi_ifswitch"
1224,4,0,0,0
1225,11,0,0,0
1226,8,0,0,0
1227,2,0,0,0
1228,11,0,0,0
1229,12,0,0,0
1230,4,0,0,0
1231,6,0,0,0
1232,4,0,0,0
1233,10,0,0,0
1234,12,0,0,0
1235,12,0,0,0
1236,7,0,0,0
1237,5,0,0,0
1238,11,0,0,0
1239,7,0,0,0
1240,12,3,0.272727272727273,1
1241,6,0,0,0
1242,5,0,0,0
1243,4,0,0,0
1244,8,0,0,0
1245,8,0,0,0
1246,5,0,0,0
1247,12,0,0,0
1248,5,0,0,0
1249,11,2,0.2,1
1250,5,0,0,0
1251,12,1,0.0909090909090909,1
